,Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location,lat,long
10,170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,Salina,KS,67401,SALINE,51.818181818199996,10.3636363636,43.0,12.9,46.0,13.8,20.0000000000,4.0000000000,41.063636363600004,"400 SOUTH SANTA FE AVENUE
Salina, KS 67401
(38.833290907000446, -97.60921545499968)",38.833290907000446,-97.60921545499968
11,170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,El Dorado,KS,67042,BUTLER,44.4444444444,8.8888888889,56.0,16.8,10.0,3.0,40.0000000000,8.0000000000,36.688888888899996,"720 W CENTRAL ST
El Dorado, KS 67042
(37.81743810700044, -96.85932081999965)",37.81743810700044,-96.85932081999965
12,170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,Garden City,KS,67846,FINNEY,44.0,8.8,40.0,12.0,33.3333333333,10.0,10.0000000000,2.0000000000,32.8,"401 EAST SPRUCE
Garden City, KS 67846
(37.968975413000464, -100.8690071589997)",37.968975413000464,-100.8690071589997
13,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,Boaz,AL,35957,MARSHALL,72.2222222222,14.4444444444,71.0,21.3,60.0,18.0,30.0000000000,6.0000000000,59.744444444399996,"2505 U S HIGHWAY 431 NORTH
Boaz, AL 35957
(34.22133455500045, -86.15937514799964)",34.22133455500045,-86.15937514799964
14,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,Fort Payne,AL,35968,DE KALB,78.8888888889,15.777777777799999,51.0,15.3,12.5,3.75,10.0000000000,2.0000000000,36.8277777778,"200 MED CENTER DRIVE
Fort Payne, AL 35968
(34.44060759100046, -85.75726760699968)",34.44060759100046,-85.75726760699968
15,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,Alabaster,AL,35007,SHELBY,66.3636363636,13.2727272727,25.0,7.5,56.0,16.8,0.0000000000,0.0000000000,37.5727272727,"1000 FIRST STREET NORTH
Alabaster, AL 35007
(33.254429322000476, -86.81407933399964)",33.254429322000476,-86.81407933399964
16,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,Ozark,AL,36360,DALE,64.44444444439999,12.8888888889,53.0,15.9,46.6666666667,14.0,30.0000000000,6.0000000000,48.788888888900004,"126 HOSPITAL AVE
Ozark, AL 36360
(31.451350713000465, -85.63094293699965)",31.451350713000465,-85.63094293699965
17,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,Montgomery,AL,36116,MONTGOMERY,13.6363636364,2.7272727273000004,33.0,9.9,54.0,16.2,0.0000000000,0.0000000000,28.8272727273,"2105 EAST SOUTH BOULEVARD
Montgomery, AL 36116
(32.32718605800045, -86.27659060999969)",32.32718605800045,-86.27659060999969
18,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,Opelika,AL,36801,LEE,74.54545454550001,14.909090909100001,65.0,19.5,22.0,6.6,60.0000000000,12.0000000000,53.009090909099996,"2000 PEPPERELL PARKWAY
Opelika, AL 36801
(32.63808805900044, -85.40445272899967)",32.63808805900044,-85.40445272899967
19,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,Huntsville,AL,35801,MADISON,52.7272727273,10.5454545455,47.0,14.1,44.0,13.2,0.0000000000,0.0000000000,37.845454545500004,"101 SIVLEY RD
Huntsville, AL 35801
(34.721080618000485, -86.58128515799967)",34.721080618000485,-86.58128515799967
20,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,Fayette,AL,35555,FAYETTE,64.0,12.8,100.0,30.0,80.0,24.0,80.0000000000,16.0000000000,82.8,"1653 TEMPLE AVENUE NORTH
Fayette, AL 35555
(33.70769618300045, -87.82377536199965)",33.70769618300045,-87.82377536199965
21,50376,LAC/HARBOR-UCLA MED CENTER,1000 W CARSON ST,Torrance,CA,90509,LOS ANGELES,47.2727272727,9.4545454545,12.0,3.6,25.0,7.5,50.0000000000,10.0000000000,30.554545454499998,"1000 W CARSON ST
Torrance, CA 90509
(33.83155528900045, -118.29357752399972)",33.83155528900045,-118.29357752399972
22,50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,147 N BRENT ST,Ventura,CA,93003,VENTURA,37.2727272727,7.454545454500001,44.0,13.2,64.0,19.2,20.0000000000,4.0000000000,43.8545454545,"147 N BRENT ST
Ventura, CA 93003
(34.27465317900044, -119.2573413239997)",34.27465317900044,-119.2573413239997
23,50455,SAN JOAQUIN COMMUNITY HOSPITAL,2615 CHESTER AVENUE,Bakersfield,CA,93301,KERN,50.0,10.0,21.0,6.3,26.0,7.8,0.0000000000,0.0000000000,24.1,"2615 CHESTER AVENUE
Bakersfield, CA 93301
(35.38310216500048, -119.0188954619997)",35.38310216500048,-119.0188954619997
24,50471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,Los Angeles,CA,90017,LOS ANGELES,39.0909090909,7.8181818182,24.0,7.2,22.0,6.6,0.0000000000,0.0000000000,21.6181818182,"1225 WILSHIRE BOULEVARD
Los Angeles, CA 90017
(34.05325613600047, -118.26536141299971)",34.05325613600047,-118.26536141299971
25,50523,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,Antioch,CA,94509,CONTRA COSTA,28.0,5.6,22.0,6.6,46.0,13.8,20.0000000000,4.0000000000,30.0,"3901 LONE TREE WAY
Antioch, CA 94509
(37.98238379200046, -121.8055249839997)",37.98238379200046,-121.8055249839997
26,50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1150 VETERANS BOULEVARD,Redwood City,CA,94063,SAN MATEO,87.0,17.4,41.0,12.3,5.0,1.5,40.0000000000,8.0000000000,39.2,"1150 VETERANS BOULEVARD
Redwood City, CA 94063
(37.48948020400047, -122.22318254699968)",37.48948020400047,-122.22318254699968
27,50570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,17100 EUCLID STREET,Fountain Valley,CA,92708,ORANGE,36.3636363636,7.2727272727,11.0,3.3,40.0,12.0,10.0000000000,2.0000000000,24.5727272727,"17100 EUCLID STREET
Fountain Valley, CA 92708
(33.71503023200046, -117.93698653099972)",33.71503023200046,-117.93698653099972
28,50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",10800 MAGNOLIA AVENUE,Riverside,CA,92505,RIVERSIDE,73.3333333333,14.666666666700001,30.0,9.0,60.0,18.0,80.0000000000,16.0000000000,57.6666666667,"10800 MAGNOLIA AVENUE
Riverside, CA 92505
(33.906411809000474, -117.47082044899969)",33.906411809000474,-117.47082044899969
29,40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,Siloam Springs,AR,72761,BENTON,46.6666666667,9.3333333333,53.0,15.9,33.3333333333,10.0,10.0000000000,2.0000000000,37.2333333333,"603 NORTH PROGRESS AVENUE
Siloam Springs, AR 72761
(36.18995440200047, -94.50968759599965)",36.18995440200047,-94.50968759599965
30,40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,Clarksville,AR,72830-0738,JOHNSON,34.4444444444,6.8888888888999995,35.0,10.5,80.0,24.0,60.0000000000,12.0000000000,53.388888888900006,"1100 EAST POPLAR STREET
Clarksville, AR 72830-0738
(35.46439977400047, -93.44588866599969)",35.46439977400047,-93.44588866599969
31,40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,Danville,AR,72833,YELL,,,77.0,28.875,50.0,18.75,100.0000000000,25.0000000000,72.625,"719 DETROIT STREET
Danville, AR 72833
(35.05494989800047, -93.38851771599968)",35.05494989800047,-93.38851771599968
32,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,North Little Rock,AR,72117,PULASKI,80.0,16.0,45.0,13.5,24.0,7.2,0.0000000000,0.0000000000,36.7,"3333 SPRINGHILL DRIVE
North Little Rock, AR 72117
(34.78341792800046, -92.21825285899968)",34.78341792800046,-92.21825285899968
33,40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,Benton,AR,72015,SALINE,52.0,10.4,31.0,9.3,46.0,13.8,30.0000000000,6.0000000000,39.5,"#1 MEDICAL PARK DRIVE
Benton, AR 72015
(34.57444970700044, -92.58438253899965)",34.57444970700044,-92.58438253899965
34,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,Batesville,AR,72503-2197,INDEPENDENCE,52.0,10.4,61.0,18.3,20.0,6.0,0.0000000000,0.0000000000,34.7,"1710 HARRISON STREET
Batesville, AR 72503-2197
(35.76958198400047, -91.63575812599964)",35.76958198400047,-91.63575812599964
35,40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,Sherwood,AR,72120,PULASKI,33.3333333333,6.666666666699999,61.0,18.3,56.6666666667,17.0,0.0000000000,0.0000000000,41.9666666667,"2215 WILDWOOD AVENUE
Sherwood, AR 72120
(34.81435317400047, -92.20719155499967)",34.81435317400047,-92.20719155499967
36,50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,Jackson,CA,95642,AMADOR,37.777777777800004,7.5555555556,37.0,11.1,40.0,12.0,60.0000000000,12.0000000000,42.655555555599996,"200 MISSION BLVD
Jackson, CA 95642
(38.350920389000464, -120.76646522799967)",38.350920389000464,-120.76646522799967
37,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,La Mesa,CA,91942,SAN DIEGO,70.0,14.0,28.0,8.4,52.0,15.6,0.0000000000,0.0000000000,38.0,"5555 GROSSMONT CENTER DRIVE BOX 58
La Mesa, CA 91942
(32.77994366800044, -117.00963598799967)",32.77994366800044,-117.00963598799967
38,50069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,Orange,CA,92868,ORANGE,60.9090909091,12.1818181818,45.0,13.5,42.0,12.6,0.0000000000,0.0000000000,38.2818181818,"1100 WEST STEWART DR
Orange, CA 92868
(33.78231196700045, -117.86485484099967)",33.78231196700045,-117.86485484099967
39,50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,Vallejo,CA,94589,SOLANO,56.0,11.2,24.0,7.2,15.0,4.5,100.0000000000,20.0000000000,42.9,"975 SERENO DR
Vallejo, CA 94589
(38.12839097800048, -122.24761114399968)",38.12839097800048,-122.24761114399968
40,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,Petaluma,CA,94954,SONOMA,16.6666666667,3.3333333332999997,36.0,10.8,46.6666666667,14.0,50.0000000000,10.0000000000,38.1333333333,"400 N MCDOWELL BLVD
Petaluma, CA 94954
(38.2532253280005, -122.63301542899973)",38.2532253280005,-122.63301542899973
41,50139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,Downey,CA,90242,LOS ANGELES,46.6666666667,9.3333333333,38.0,11.4,65.0,19.5,100.0000000000,20.0000000000,60.2333333333,"9333 IMPERIAL HIGHWAY
Downey, CA 90242
(33.91705683400045, -118.1292608609997)",33.91705683400045,-118.1292608609997
42,50168,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,Fullerton,CA,92835,ORANGE,39.0909090909,7.8181818182,30.0,9.0,48.0,14.4,10.0000000000,2.0000000000,33.2181818182,"101 E VALENCIA MESA DRIVE
Fullerton, CA 92835
(33.89354749200049, -117.92746292199968)",33.89354749200049,-117.92746292199968
43,50179,EMANUEL MEDICAL CENTER INC,825 DELBON AVE,Turlock,CA,95382,STANISLAUS,41.8181818182,8.3636363636,9.0,2.7,44.0,13.2,10.0000000000,2.0000000000,26.2636363636,"825 DELBON AVE
Turlock, CA 95382
(37.51051747500048, -120.8396627779997)",37.51051747500048,-120.8396627779997
44,50192,ADVENTIST MEDICAL CENTER - REEDLEY,372 W CYPRESS AVE,Reedley,CA,93654,FRESNO,51.428571428599994,14.693877551,24.0,10.285714285700001,,,80.0000000000,22.8571428571,47.836734693900006,"372 W CYPRESS AVE
Reedley, CA 93654
(36.607827967000446, -119.45170937299969)",36.607827967000446,-119.45170937299969
45,50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,Pomona,CA,91767,LOS ANGELES,68.1818181818,13.6363636364,11.0,3.3,34.0,10.2,0.0000000000,0.0000000000,27.1363636364,"1798 N GAREY AVE
Pomona, CA 91767
(34.07793447600045, -117.75232645599971)",34.07793447600045,-117.75232645599971
46,50234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,Coronado,CA,92118,SAN DIEGO,75.55555555560001,21.5873015873,87.0,37.2857142857,,,90.0000000000,25.7142857143,84.58730158729999,"250 PROSPECT PLACE
Coronado, CA 92118
(32.69424599800044, -117.16796968299968)",32.69424599800044,-117.16796968299968
47,50242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,Santa Cruz,CA,95065,SANTA CRUZ,76.3636363636,15.2727272727,7.0,2.1,50.0,15.0,0.0000000000,0.0000000000,32.3727272727,"1555 SOQUEL DRIVE
Santa Cruz, CA 95065
(36.98832755400048, -121.98397886899971)",36.98832755400048,-121.98397886899971
48,50262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,Los Angeles,CA,90095,LOS ANGELES,68.1818181818,13.6363636364,26.0,7.8,48.0,14.4,10.0000000000,2.0000000000,37.8363636364,"757 WESTWOOD PLAZA
Los Angeles, CA 90095
(34.06618190100045, -118.4452992149997)",34.06618190100045,-118.4452992149997
49,50295,MERCY HOSPITAL,2215 TRUXTUN AVENUE,Bakersfield,CA,93301,KERN,52.2222222222,10.4444444444,9.0,2.7,55.0,16.5,0.0000000000,0.0000000000,29.6444444444,"2215 TRUXTUN AVENUE
Bakersfield, CA 93301
(35.37327323000045, -119.02759937599967)",35.37327323000045,-119.02759937599967
50,50301,UKIAH VALLEY MEDICAL CENTER/HOSPITAL D,275 HOSPITAL DRIVE,Ukiah,CA,95482,MENDOCINO,36.6666666667,7.333333333300001,34.0,10.2,46.6666666667,14.0,80.0000000000,16.0000000000,47.5333333333,"275 HOSPITAL DRIVE
Ukiah, CA 95482
(39.152357071000495, -123.20360807199972)",39.152357071000495,-123.20360807199972
51,50315,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,Bakersfield,CA,93306,KERN,26.6666666667,5.3333333333,26.0,7.8,60.0,18.0,10.0000000000,2.0000000000,33.1333333333,"1700 MOUNT VERNON AVENUE
Bakersfield, CA 93306
(35.379913942000485, -118.9675816349997)",35.379913942000485,-118.9675816349997
52,50329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,Corona,CA,92882,RIVERSIDE,48.888888888900006,9.777777777799999,20.0,6.0,65.0,19.5,0.0000000000,0.0000000000,35.277777777800004,"800 SOUTH MAIN STREET
Corona, CA 92882
(33.87299539400044, -117.56679179999969)",33.87299539400044,-117.56679179999969
53,100154,"SOUTH MIAMI HOSPITAL, INC",6200 SW 73RD ST,Miami,FL,33143,DADE,82.72727272729999,16.5454545455,60.0,18.0,74.0,22.2,0.0000000000,0.0000000000,56.7454545455,"6200 SW 73RD ST
Miami, FL 33143
(25.702942834000453, -80.29374065199966)",25.702942834000453,-80.29374065199966
54,100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,Lake City,FL,32055,COLUMBIA,100.0,20.0,32.0,9.6,63.3333333333,19.0,10.0000000000,2.0000000000,50.6,"340 NW COMMERCE DR
Lake City, FL 32055
(30.18398129500048, -82.68631210899969)",30.18398129500048,-82.68631210899969
55,100175,DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,Arcadia,FL,34265,DE SOTO,41.25,8.25,33.0,9.9,66.6666666667,20.0,30.0000000000,6.0000000000,44.15,"900 N ROBERT AVE
Arcadia, FL 34265
(27.227469306000444, -81.85163588699965)",27.227469306000444,-81.85163588699965
56,100187,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,Hialeah,FL,33016,DADE,61.818181818199996,12.3636363636,16.0,4.8,56.0,16.8,10.0000000000,2.0000000000,35.9636363636,"2001 W 68TH ST
Hialeah, FL 33016
(25.884148368000467, -80.32671088999967)",25.884148368000467,-80.32671088999967
57,100228,WESTSIDE REGIONAL MEDICAL CENTER,8201 W BROWARD BLVD,Plantation,FL,33324,BROWARD,83.6363636364,16.7272727273,16.0,4.8,48.0,14.4,10.0000000000,2.0000000000,37.9272727273,"8201 W BROWARD BLVD
Plantation, FL 33324
(26.12091802900045, -80.25840631999966)",26.12091802900045,-80.25840631999966
58,100232,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,Palatka,FL,32177,PUTNAM,21.0,4.2,18.0,5.4,38.0,11.4,10.0000000000,2.0000000000,23.0,"611 ZEAGLER DR
Palatka, FL 32177
(29.64259090200045, -81.69348881299965)",29.64259090200045,-81.69348881299965
59,100268,WEST BOCA MEDICAL CENTER,21644 STATE RD 7,Boca Raton,FL,33428,PALM BEACH,74.44444444439999,14.8888888889,14.0,4.2,67.5,20.25,0.0000000000,0.0000000000,39.3388888889,"21644 STATE RD 7
Boca Raton, FL 33428
(26.355234777000476, -80.20322761099965)",26.355234777000476,-80.20322761099965
60,110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,Brunswick,GA,31520,GLYNN,64.0,12.8,48.0,14.4,26.0,7.8,30.0000000000,6.0000000000,41.0,"2415 PARKWOOD DRIVE
Brunswick, GA 31520
(31.17385556500045, -81.48490346699964)",31.17385556500045,-81.48490346699964
61,110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,Augusta,GA,30901,RICHMOND,69.0909090909,13.8181818182,51.0,15.3,40.0,12.0,10.0000000000,2.0000000000,43.1181818182,"1350 WALTON WAY
Augusta, GA 30901
(33.47343476000049, -81.98248109299965)",33.47343476000049,-81.98248109299965
62,110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,Americus,GA,31719,SUMTER,66.6666666667,13.333333333299999,43.0,12.9,20.0,6.0,60.0000000000,12.0000000000,44.2333333333,"126 HIGHWAY 280 W
Americus, GA 31719
(32.063850853000474, -84.25711580399968)",32.063850853000474,-84.25711580399968
63,110087,GWINNETT MEDICAL CENTER,1000 MEDICAL CENTER BOULEVARD,Lawrenceville,GA,30045,GWINNETT,41.8181818182,8.3636363636,36.0,10.8,44.0,13.2,20.0000000000,4.0000000000,36.3636363636,"1000 MEDICAL CENTER BOULEVARD
Lawrenceville, GA 30045
(33.964473849000456, -84.01469902699966)",33.964473849000456,-84.01469902699966
64,60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,Pueblo,CO,81004,PUEBLO,72.0,14.4,44.0,13.2,18.0,5.4,0.0000000000,0.0000000000,33.0,"1008 MINNEQUA AVE
Pueblo, CO 81004
(38.23316401900047, -104.62429152299967)",38.23316401900047,-104.62429152299967
65,60014,PRESBYTERIAN ST LUKES MEDICAL CENTER,1719 E 19TH AVE,Denver,CO,80218,DENVER,84.54545454550001,16.9090909091,37.0,11.1,6.666666666699999,2.0,0.0000000000,0.0000000000,30.0090909091,"1719 E 19TH AVE
Denver, CO 80218
(39.7460882310005, -104.9668102389997)",39.7460882310005,-104.9668102389997
66,60036,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,1100 CARSON AVENUE,La Junta,CO,81050,OTERO,54.4444444444,10.8888888889,22.0,6.6,45.0,13.5,70.0000000000,14.0000000000,44.9888888889,"1100 CARSON AVENUE
La Junta, CO 81050
(37.97758183300044, -103.5487831419997)",37.97758183300044,-103.5487831419997
67,60076,STERLING REGIONAL MEDCENTER,615 FAIRHURST ST,Sterling,CO,80751,LOGAN,48.888888888900006,13.968253968299999,69.0,29.5714285714,,,20.0000000000,5.7142857143,49.25396825399999,"615 FAIRHURST ST
Sterling, CO 80751
(40.6136435140005, -103.22061011299968)",40.6136435140005,-103.22061011299968
68,60096,VAIL VALLEY MEDICAL CENTER,181 W MEADOW DRIVE,Vail,CO,81657,EAGLE,50.0,14.2857142857,72.0,30.8571428571,,,10.0000000000,2.8571428571,48.0,"181 W MEADOW DRIVE
Vail, CO 81657
(39.642838020000454, -106.38126958299966)",39.642838020000454,-106.38126958299966
69,90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,Washington,DC,20037,DISTRICT OF COLUMBIA,56.363636363599994,11.2727272727,13.0,3.9,20.0,6.0,20.0000000000,4.0000000000,25.1727272727,"900 23RD ST NW
Washington, DC 20037
(38.90104046900046, -77.05015606799964)",38.90104046900046,-77.05015606799964
70,100007,FLORIDA HOSPITAL,601 E ROLLINS ST,Orlando,FL,32803,ORANGE,78.1818181818,15.6363636364,60.0,18.0,14.0,4.2,0.0000000000,0.0000000000,37.8363636364,"601 E ROLLINS ST
Orlando, FL 32803
(28.573171535000483, -81.36984296899965)",28.573171535000483,-81.36984296899965
71,100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,Titusville,FL,32796,BREVARD,70.0,14.0,49.0,14.7,54.0,16.2,0.0000000000,0.0000000000,44.9,"951 N WASHINGTON AVE
Titusville, FL 32796
(28.627996394000434, -80.82426502699968)",28.627996394000434,-80.82426502699968
72,100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,Deland,FL,32720,VOLUSIA,77.0,15.4,29.0,8.7,52.0,15.6,0.0000000000,0.0000000000,39.7,"701 W PLYMOUTH AVE
Deland, FL 32720
(29.042648462000443, -81.31693118199968)",29.042648462000443,-81.31693118199968
73,100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,Sebring,FL,33870,HIGHLANDS,78.0,15.6,16.0,4.8,42.0,12.6,10.0000000000,2.0000000000,35.0,"3600 S HIGHLANDS AVE
Sebring, FL 33870
(27.46648019200046, -81.43367922299967)",27.46648019200046,-81.43367922299967
74,100070,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,540 THE RIALTO,Venice,FL,34285,SARASOTA,98.1818181818,19.636363636400002,8.0,2.4,30.0,9.0,0.0000000000,0.0000000000,31.036363636399997,"540 THE RIALTO
Venice, FL 34285
(27.09088241100045, -82.44439169399965)",27.09088241100045,-82.44439169399965
75,100072,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,Orange City,FL,32763,VOLUSIA,72.2222222222,14.4444444444,44.0,13.2,50.0,15.0,0.0000000000,0.0000000000,42.6444444444,"1055 SAXON BLVD
Orange City, FL 32763
(28.91132751200047, -81.28309096999965)",28.91132751200047,-81.28309096999965
76,100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,Crestview,FL,32539,OKALOOSA,68.8888888889,13.777777777799999,26.0,7.8,80.0,24.0,0.0000000000,0.0000000000,45.577777777799994,"151 REDSTONE AVE SE
Crestview, FL 32539
(30.769962192000435, -86.51237595199967)",30.769962192000435,-86.51237595199967
77,140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,Chicago,IL,60612,COOK,34.5454545455,6.9090909091,13.0,3.9,40.0,12.0,10.0000000000,2.0000000000,24.8090909091,"1740 WEST TAYLOR ST SUITE 1400
Chicago, IL 60612
(41.869212664000486, -87.67043988999967)",41.869212664000486,-87.67043988999967
